yelp_biz_name,rating_type,rating_date,rating
nice-green-bo-restaurant-new-york,yelp,05/20/09,3
nice-green-bo-restaurant-new-york,yelp,03/16/10,2
nice-green-bo-restaurant-new-york,inspection,05/24/11,B
nice-green-bo-restaurant-new-york,inspection,11/09/11,B
la-mela-ristorante-new-york,yelp,05/30/12,5
la-mela-ristorante-new-york,yelp,05/20/12,5
la-mela-ristorante-new-york,yelp,05/19/12,1
la-mela-ristorante-new-york,yelp,05/25/12,3
la-mela-ristorante-new-york,yelp,04/29/12,4
la-mela-ristorante-new-york,yelp,05/21/12,5
la-mela-ristorante-new-york,yelp,03/31/12,5
la-mela-ristorante-new-york,yelp,04/25/12,2
la-mela-ristorante-new-york,yelp,04/18/12,5
la-mela-ristorante-new-york,yelp,04/15/12,2
la-mela-ristorante-new-york,yelp,04/05/12,3
la-mela-ristorante-new-york,yelp,02/05/12,4
la-mela-ristorante-new-york,yelp,01/24/12,4
la-mela-ristorante-new-york,yelp,01/25/12,2
la-mela-ristorante-new-york,yelp,01/17/12,2
la-mela-ristorante-new-york,yelp,04/07/12,3
la-mela-ristorante-new-york,yelp,03/09/12,4
la-mela-ristorante-new-york,yelp,10/31/11,3
la-mela-ristorante-new-york,yelp,10/12/11,4
la-mela-ristorante-new-york,yelp,09/26/11,1
la-mela-ristorante-new-york,yelp,01/24/12,3
la-mela-ristorante-new-york,yelp,09/08/11,5
la-mela-ristorante-new-york,yelp,04/29/12,4
la-mela-ristorante-new-york,yelp,12/30/11,5
la-mela-ristorante-new-york,yelp,05/01/12,4
la-mela-ristorante-new-york,yelp,03/02/12,5
la-mela-ristorante-new-york,yelp,02/14/12,5
la-mela-ristorante-new-york,yelp,01/29/12,4
la-mela-ristorante-new-york,yelp,03/06/12,5
la-mela-ristorante-new-york,yelp,02/23/12,4
la-mela-ristorante-new-york,yelp,09/17/11,3
la-mela-ristorante-new-york,yelp,01/10/12,5
la-mela-ristorante-new-york,yelp,08/31/11,4
la-mela-ristorante-new-york,yelp,02/19/12,5
la-mela-ristorante-new-york,yelp,08/14/11,3
la-mela-ristorante-new-york,yelp,07/03/11,4
la-mela-ristorante-new-york,yelp,04/20/11,4
la-mela-ristorante-new-york,yelp,01/07/12,4
la-mela-ristorante-new-york,yelp,01/11/12,5
la-mela-ristorante-new-york,yelp,12/26/11,5
la-mela-ristorante-new-york,yelp,12/26/11,5
la-mela-ristorante-new-york,yelp,07/04/11,4
la-mela-ristorante-new-york,yelp,01/03/12,5
la-mela-ristorante-new-york,yelp,01/01/12,5
la-mela-ristorante-new-york,yelp,12/30/11,3
la-mela-ristorante-new-york,yelp,11/22/10,4
la-mela-ristorante-new-york,yelp,09/23/10,1
la-mela-ristorante-new-york,yelp,12/25/11,4
la-mela-ristorante-new-york,yelp,12/14/11,3
la-mela-ristorante-new-york,yelp,09/01/10,4
la-mela-ristorante-new-york,yelp,07/01/11,4
la-mela-ristorante-new-york,yelp,11/22/11,4
la-mela-ristorante-new-york,yelp,12/23/10,3
la-mela-ristorante-new-york,yelp,12/07/10,4
la-mela-ristorante-new-york,yelp,01/03/11,2
la-mela-ristorante-new-york,yelp,01/04/11,4
la-mela-ristorante-new-york,yelp,11/10/10,3
la-mela-ristorante-new-york,yelp,05/30/08,4
la-mela-ristorante-new-york,yelp,02/17/09,1
la-mela-ristorante-new-york,yelp,04/19/09,1
la-mela-ristorante-new-york,yelp,12/30/07,2
la-mela-ristorante-new-york,yelp,01/22/07,5
la-mela-ristorante-new-york,yelp,10/01/11,5
la-mela-ristorante-new-york,yelp,03/23/09,1
la-mela-ristorante-new-york,yelp,09/22/10,5
la-mela-ristorante-new-york,yelp,09/30/08,2
la-mela-ristorante-new-york,yelp,10/27/11,4
la-mela-ristorante-new-york,yelp,02/14/10,1
la-mela-ristorante-new-york,yelp,02/22/08,4
la-mela-ristorante-new-york,yelp,09/10/11,5
la-mela-ristorante-new-york,yelp,01/03/11,4
la-mela-ristorante-new-york,yelp,10/22/11,2
